date,portfolio,benchmark,portfolio_daily_return,benchmark_daily_return,data_type
2020-05-06,1000000.0,999999.9999999999,,,validation
2020-05-07,1012851.8812785387,1012876.712328767,0.012851881278538757,0.012876712328767193,validation
2020-05-08,1027882.1421284984,1026757.9908675799,0.014839544782191405,0.013704805698314004,validation
2020-05-11,1037052.8380946338,1035936.0730593607,0.008921933352344258,0.008938895312639028,validation
2020-05-12,1015339.5938815679,1014246.5753424657,-0.020937452187064443,-0.020937100542160803,validation
2020-05-13,1001364.9477030503,1001552.5114155251,-0.013763519380834532,-0.012515757248334203,validation
2020-05-14,1012721.9928385728,1012922.3744292237,0.011341564493118517,0.011352238533783199,validation
2020-05-15,1018502.5534247481,1019497.7168949771,0.0057079441614305,0.006491457422350466,validation
2020-05-18,1037462.0513312275,1038493.1506849314,0.01861507155060882,0.01863214941550595,validation
2020-05-19,1034861.8521973314,1035890.4109589041,-0.0025063077059634953,-0.0025062656641603454,validation
2020-05-20,1055133.4379167852,1056575.3424657532,0.0195886877812832,0.019968262364453704,validation
2020-05-21,1043636.2793341463,1045068.4931506849,-0.01089640245440282,-0.010890704006223162,validation
2020-05-22,1047187.4819296813,1048675.799086758,0.0034027205319084874,0.0034517411631056483,validation
2020-05-26,1044357.4676478271,1045844.7488584474,-0.0027024905575067093,-0.0026996429504485553,validation
2020-05-27,1050057.1296481756,1051552.511415525,0.005457577675185954,0.005457561997904259,validation
2020-05-28,1048689.210768092,1050182.6484018264,-0.001302709006453684,-0.001302705284641159,validation
2020-05-29,1064055.499521031,1065570.7762557077,0.014652852909285086,0.014652810991782284,validation
2020-06-01,1067247.310241226,1068767.1232876712,0.0029996656392752286,0.0029996571820363194,validation
2020-06-02,1074406.0857136636,1075936.0730593607,0.006707700646084946,0.00670768179099368,validation
2020-06-03,1079239.399089959,1080776.2557077624,0.004498590840617656,0.004498578279505949,validation
2020-06-04,1071670.2479534964,1073196.3470319633,-0.0070134125411331905,-0.0070133930457561,validation
2020-06-05,1092918.587890795,1094474.8858447487,0.01982731159876394,0.019827256094966605,validation
2020-06-08,1101399.6849473133,1102968.0365296802,0.007760044664338439,0.007760023363511337,validation
2020-06-09,1109379.2117478012,1110958.904109589,0.007244896570739012,0.00724487683709385,validation
2020-06-10,1122693.6221806146,1124292.2374429223,0.012001676515856818,0.012001644060830152,validation
2020-06-11,1067064.921057215,1068584.4748858446,-0.04954931605948887,-0.049549183656892315,validation
2020-06-12,1076902.529372456,1077077.6255707762,0.009219315639665382,0.007948038629177034,validation
2020-06-15,1089991.4328781625,1090182.6484018264,0.012154213727526342,0.012167203662879489,validation
2020-06-16,1109572.3500248014,1108904.109589041,0.01796428536592698,0.017172774869109952,validation
2020-06-17,1113073.6776438237,1112420.0913242009,0.0031555649516175066,0.0031706814906320435,validation
2020-06-18,1116089.1924369058,1115433.7899543378,0.0027091780657910736,0.0027091371808554143,validation
2020-06-19,1115906.4339645978,1115251.1415525114,-0.00016374898488979994,-0.00016374652038630977,validation
2020-06-22,1127099.4738817788,1126666.6666666665,0.010030446618552347,0.01023583360628888,validation
2020-06-23,1136689.0188199943,1136255.707762557,0.008508162021572785,0.008510983221204693,validation
2020-06-24,1113255.3621976387,1112831.0502283105,-0.020615714794783746,-0.020615656646841285,validation
2020-06-25,1124305.7388886674,1123424.6575342466,0.00992618321569494,0.009519510894095529,validation
2020-06-26,1097739.8487553888,1096894.9771689498,-0.023628706333508553,-0.02361500630004465,validation
2020-06-29,1111771.6902979861,1108858.4474885843,0.012782483535153322,0.010906668886853543,validation
2020-06-30,1133542.4015534455,1130593.607305936,0.019581998215500773,0.019601383627079638,validation
2020-07-01,1144333.343373851,1143789.9543378996,0.009519663142390833,0.011672051696284269,validation
2020-07-02,1152079.7915559767,1151552.511415525,0.006769398293758444,0.006786698071779229,validation
