,ds,SPY,y,unique_id
0,2025-06-20,594.28,2922012.0168125513,0
1,2025-06-18,597.44,2952157.0086245877,0
2,2025-06-17,597.53,2946504.309340025,0
3,2025-06-16,602.68,2961179.0508324616,0
4,2025-06-13,597.0,2981690.6646793415,0
5,2025-06-12,603.75,3011704.569537572,0
6,2025-06-11,601.36,3004649.150962754,0
7,2025-06-10,603.08,3014808.9537104927,0
8,2025-06-09,599.68,2994997.3383524036,0
9,2025-06-06,599.14,2990594.757161717,0
10,2025-06-05,593.05,3020258.0823890804,0
11,2025-06-04,595.93,2995726.976703168,0
12,2025-06-03,596.09,3002494.1782716955,0
13,2025-06-02,592.71,3026179.3837615424,0
14,2025-05-30,589.39,3049864.5892513893,0
15,2025-05-29,590.05,3043943.287878928,0
16,2025-05-28,587.73,2964780.7829892305,0
17,2025-05-27,591.15,2977979.0439593606,0
18,2025-05-23,579.11,2909530.9199670865,0
19,2025-05-22,583.09,2936727.336511596,0
20,2025-05-21,582.86,2931242.3449395937,0
21,2025-05-20,592.85,2972551.1877162335,0
22,2025-05-19,594.85,2982492.734940487,0
23,2025-05-16,594.2,2979635.968496736,0
24,2025-05-15,590.46,2966723.3841709816,0
25,2025-05-14,587.59,2951154.0070525385,0
26,2025-05-13,586.84,2951154.0070525385,0
27,2025-05-12,582.99,2943589.002883953,0
28,2025-05-09,564.34,2828345.8742468045,0
29,2025-05-08,565.06,2830200.8944260743,0
30,2025-05-07,561.15,2801274.173505583,0
31,2025-05-06,558.8,2790317.960571769,0
32,2025-05-05,563.51,2742850.9601437715,0
33,2025-05-02,566.76,2726428.6699834103,0
34,2025-05-01,558.47,2767841.4016921464,0
35,2025-04-30,554.54,2710112.008344876,0
36,2025-04-29,554.32,2710454.043676241,0
37,2025-04-28,550.85,2692668.206445237,0
38,2025-04-25,550.64,2693523.294773651,0
39,2025-04-24,546.69,2663823.226833416,0
40,2025-04-23,535.42,2614306.741454634,0
41,2025-04-22,527.25,2672905.610886612,0
42,2025-04-21,513.88,2673041.658647729,0
43,2025-04-17,526.41,2669430.3056525774,0
44,2025-04-16,525.66,2634260.919538492,0
45,2025-04-15,537.61,2716174.0328059313,0
46,2025-04-14,539.12,2726481.8749036947,0
47,2025-04-11,533.94,2624631.528788488,0
48,2025-04-10,524.58,2577147.2173045673,0
49,2025-04-09,548.62,2691641.019447063,0
50,2025-04-08,496.48,2396405.6595928813,0
51,2025-04-07,504.38,2353259.8912746105,0
52,2025-04-04,505.28,2355890.7308062124,0
53,2025-04-03,536.7,2349373.5184678333,0
54,2025-04-02,564.52,2482277.0696237,0
55,2025-04-01,560.97,2464288.946772082,0
56,2025-03-31,559.39,2444580.220865092,0
57,2025-03-28,555.66,2444684.4998381445,0
58,2025-03-27,567.08,2510797.3687536563,0
59,2025-03-26,568.59,2504431.575497607,0
60,2025-03-25,575.46,2471727.929290142,0
61,2025-03-24,574.08,2466104.3521318184,0
62,2025-03-21,563.98,2517724.713981531,0
63,2025-03-20,565.49,2583767.374656139,0
64,2025-03-19,567.13,2550875.8071986106,0
65,2025-03-18,561.02,2560650.848331126,0
66,2025-03-17,567.15,2605066.489051345,0
67,2025-03-14,562.81,2588282.4498484433,0
68,2025-03-13,551.42,2527190.705868749,0
69,2025-03-12,558.87,2565768.4895926826,0
70,2025-03-11,555.92,2514347.970498009,0
71,2025-03-10,560.58,2520372.6594931483,0
72,2025-03-07,575.92,2621992.634933287,0
73,2025-03-06,572.71,2597334.062718668,0
74,2025-03-05,583.06,2641138.9268751596,0
75,2025-03-04,576.86,2607147.404658831,0
76,2025-03-03,583.77,2582938.859745503,0
77,2025-02-28,594.18,2496728.1322958684,0
78,2025-02-27,585.05,2457908.3200425846,0
79,2025-02-26,594.54,2528127.9551184606,0
80,2025-02-25,594.24,2522034.718764781,0
81,2025-02-24,597.21,2547365.510349902,0
82,2025-02-21,599.94,2517092.9695111727,0
83,2025-02-20,610.38,2460331.9554385548,0
84,2025-02-19,612.93,2463962.717067181,0
85,2025-02-18,611.49,2459646.906074663,0
86,2025-02-14,609.7,2459646.906074663,0
87,2025-02-13,609.73,2459187.9498605262,0
88,2025-02-12,603.36,2439756.1292240233,0
89,2025-02-11,605.31,2467598.8019485655,0
90,2025-02-10,604.85,2483060.077578278,0
91,2025-02-07,600.77,2453357.535928481,0
92,2025-02-06,606.32,2484702.3982066237,0
93,2025-02-05,604.22,2476594.0838379953,0
94,2025-02-04,601.78,2512767.0952608315,0
95,2025-02-03,597.77,2482291.5080866036,0
96,2025-01-31,601.82,2502321.060663376,0
97,2025-01-30,605.04,2505962.797495516,0
98,2025-01-29,601.81,2522517.863989306,0
99,2025-01-28,604.52,2512213.6482392875,0
100,2025-01-27,599.37,2475618.558415997,0
101,2025-01-24,607.97,2549868.069610095,0
102,2025-01-23,609.75,2564361.6512374775,0
103,2025-01-22,606.44,2558920.539197962,0
104,2025-01-21,603.05,2571795.141104753,0
105,2025-01-17,597.58,2573556.403357256,0
106,2025-01-16,591.64,2621683.7101612478,0
107,2025-01-15,592.78,2581159.9719139244,0
108,2025-01-14,582.19,2603709.350242991,0
109,2025-01-13,581.39,2600962.4330661176,0
110,2025-01-10,580.49,2591348.222947059,0
111,2025-01-08,589.49,2549457.7359997355,0
112,2025-01-07,588.63,2551694.703744787,0
113,2025-01-06,595.36,2598061.8714492596,0
114,2025-01-03,591.95,2568537.4783382923,0
115,2025-01-02,584.64,2527173.6054395367,0
116,2024-12-31,586.08,2532127.362672921,0
117,2024-12-30,588.22,2553824.8193551423,0
118,2024-12-27,595.01,2588253.4321271596,0
119,2024-12-26,601.34,2623127.8830501824,0
120,2024-12-24,601.3,2624911.2356542004,0
121,2024-12-23,594.69,2607738.3459992204,0
122,2024-12-20,591.15,2620767.626887338,0
123,2024-12-19,586.1,2559312.632440639,0
124,2024-12-18,586.28,2524503.547383016,0
125,2024-12-17,604.29,2527593.9073267034,0
126,2024-12-16,606.79,2538775.8204053887,0
127,2024-12-13,604.21,2527516.5817163843,0
128,2024-12-12,604.33,2509693.724704712,0
129,2024-12-11,607.46,2525998.3550137067,0
130,2024-12-10,602.8,2523820.5458912584,0
131,2024-12-09,604.68,2502721.276648762,0
132,2024-12-06,607.81,2513515.0902379686,0
133,2024-12-05,606.66,2533574.2530032927,0
134,2024-12-04,607.66,2533915.1571146864,0
135,2024-12-03,603.91,2563914.7189173545,0
136,2024-12-02,603.63,2586689.885955981,0
137,2024-11-29,602.55,2572309.5320678144,0
138,2024-11-27,598.83,2592545.548060836,0
139,2024-11-26,600.65,2570960.464334946,0
140,2024-11-25,597.53,2569834.365266187,0
141,2024-11-22,595.51,2565775.552714062,0
