,ds,SPY,y,unique_id
118,2024-12-27,595.01,2291074.6315771593,0
119,2024-12-26,601.34,2276354.1247167187,0
120,2024-12-24,601.3,2283442.013522834,0
121,2024-12-23,594.69,2252892.9973311257,0
122,2024-12-20,591.15,2234753.1724838624,0
123,2024-12-19,586.1,2215406.898478112,0
124,2024-12-18,586.28,2225317.0165656907,0
125,2024-12-17,604.29,2308605.0959712933,0
126,2024-12-16,606.79,2318816.8263484933,0
127,2024-12-13,604.21,2285897.9993097554,0
128,2024-12-12,604.33,2268533.7489215205,0
129,2024-12-11,607.46,2283269.66364305,0
130,2024-12-10,602.8,2243112.1416533855,0
131,2024-12-09,604.68,2250781.711303772,0
132,2024-12-06,607.81,2268447.5739816288,0
133,2024-12-05,606.66,2248325.72551685,0
134,2024-12-04,607.66,2254573.408659019,0
135,2024-12-03,603.91,2227040.5153635303,0
136,2024-12-02,603.63,2220232.695112063,0
137,2024-11-29,602.55,2196319.149292038,0
138,2024-11-27,598.83,2177188.312636017,0
139,2024-11-26,600.65,2194466.38808436,0
140,2024-11-25,597.53,2182746.59625905,0
141,2024-11-22,595.51,2179299.5986633706,0
142,2024-11-21,593.67,2175809.5135977454,0
143,2024-11-20,590.5,2181260.078545913,0
144,2024-11-19,590.3,2182582.317090992,0
145,2024-11-18,588.15,2167669.2003858387,0
146,2024-11-15,585.75,2159497.332656416,0
147,2024-11-14,593.35,2184211.709604971,0
148,2024-11-13,597.19,2199499.8385253632,0
149,2024-11-12,596.9,2202334.154561166,0
150,2024-11-11,598.76,2206327.9635207066,0
151,2024-11-08,598.19,2217925.219246261,0
152,2024-11-07,595.61,2218514.0808619303,0
153,2024-11-06,591.04,2229945.350128803,0
154,2024-11-05,576.7,2170967.139875545,0
155,2024-11-04,569.81,2143617.4836623664,0
156,2024-11-01,571.04,2149881.437182159,0
157,2024-10-31,568.64,2134089.216336485,0
158,2024-10-30,580.01,2189361.9892963446,0
159,2024-10-29,581.77,2206036.4571166374,0
160,2024-10-28,580.83,2185038.9791207127,0
161,2024-10-25,579.04,2184686.0803308655,0
162,2024-10-24,579.24,2171452.3757115854,0
163,2024-10-23,577.99,2153983.8856141362,0
164,2024-10-22,583.32,2187509.270649645,0
165,2024-10-21,583.63,2185127.203818175,0
166,2024-10-18,584.59,2180936.530688736,0
167,2024-10-17,582.35,2166732.3543973756,0
168,2024-10-16,582.3,2165232.5345405242,0
169,2024-10-15,579.78,2164967.8604481383,0
170,2024-10-14,584.32,2194302.572354209,0
171,2024-10-11,579.58,2176040.0599796027,0
172,2024-10-10,576.13,2172643.4091273206,0
173,2024-10-09,577.14,2175113.700656253,0
174,2024-10-08,573.17,2158130.4463948435,0
175,2024-10-07,567.8,2126369.555308572,0
176,2024-10-04,572.98,2149396.201346119,0
177,2024-10-03,567.82,2124119.825523294,0
178,2024-10-02,568.86,2125707.8700776077,0
179,2024-10-01,568.62,2122708.230363904,0
180,2024-09-30,573.76,2152704.6275009387,0
181,2024-09-27,571.47,2146881.7974684555,0
182,2024-09-26,572.3,2158880.3563232697,0
183,2024-09-25,570.04,2142779.349036479,0
184,2024-09-24,571.3,2140794.293343587,0
185,2024-09-23,569.67,2142890.7049965947,0
186,2024-09-20,568.25,2148185.121703688,0
187,2024-09-19,570.98,2141831.821655176,0
188,2024-09-18,561.4,2196893.7554089464,0
189,2024-09-17,563.07,2186304.9219947597,0
190,2024-09-16,562.84,2187363.8053361783,0
191,2024-09-13,562.01,2176774.9719219916,0
192,2024-09-12,559.09,2185246.038653341,0
193,2024-09-11,554.42,2207482.588823133,0
194,2024-09-10,548.79,2243483.3589916704,0
195,2024-09-09,546.41,2222939.3114880673,0
196,2024-09-06,540.36,2194715.7033700226,0
197,2024-09-05,549.61,2255124.985910379,0
198,2024-09-04,550.95,2253021.6667612004,0
199,2024-09-03,552.08,2258891.3946193727,0
200,2024-08-30,563.68,2329621.6153103486,0
201,2024-08-29,558.35,2302180.6375733935,0
202,2024-08-28,558.3,2305555.7310918425,0
203,2024-08-27,561.56,2332018.4208524358,0
204,2024-08-26,560.79,2325072.576220265,0
205,2024-08-23,562.13,2347866.6860695006,0
206,2024-08-22,556.22,2322675.7706781784,0
207,2024-08-21,560.62,2360095.2857740265,0
208,2024-08-20,558.7,2353027.1551448107,0
209,2024-08-19,559.61,2348673.950056168,0
210,2024-08-16,554.31,2378856.1720040906,0
211,2024-08-15,553.07,2400469.4190574405,0
212,2024-08-14,543.75,2341313.1025700225,0
213,2024-08-13,542.04,2340554.039484213,0
214,2024-08-12,533.27,2328241.436187882,0
215,2024-08-09,532.99,2324020.0238350197,0
216,2024-08-08,530.65,2311944.586395441,0
217,2024-08-07,518.66,2243310.689837153,0
218,2024-08-06,522.15,2267874.4001843296,0
219,2024-08-05,517.38,2246406.9558473015,0
220,2024-08-02,532.9,2315453.687873609,0
221,2024-08-01,543.01,2280983.535571133,0
222,2024-07-31,550.81,2221435.394765026,0
223,2024-07-30,542.0,2157583.8344811616,0
224,2024-07-29,544.76,2187623.305604368,0
225,2024-07-26,544.44,2183237.637135831,0
226,2024-07-25,538.41,2161073.5061658043,0
227,2024-07-24,541.23,2185171.1038800245,0
228,2024-07-23,553.78,2266471.0225871014,0
229,2024-07-22,554.65,2274487.8359166854,0
230,2024-07-19,548.99,2241100.166285241,0
231,2024-07-18,552.66,2261142.1996092014,0
232,2024-07-17,556.94,2271894.1610159376,0
233,2024-07-16,564.86,2340602.96702302,0
234,2024-07-15,561.53,2339706.9702391257,0
235,2024-07-12,559.99,2333434.992751863,0
236,2024-07-11,556.48,2322565.137031456,0
237,2024-07-10,561.32,2322080.365156554,0
238,2024-07-09,555.82,2307098.6057845764,0
239,2024-07-08,555.28,2307098.6057845764,0
240,2024-07-05,554.64,2305402.61973948,0
241,2024-07-03,551.46,2285585.138965953,0
242,2024-07-02,549.01,2289181.704594663,0
243,2024-07-01,545.34,2265392.6561224144,0
244,2024-06-28,544.22,2260764.6624422544,0
245,2024-06-27,546.37,2245411.8958742428,0
246,2024-06-26,545.51,2246604.6320320726,0
247,2024-06-25,544.83,2241974.009301673,0
248,2024-06-24,542.74,2216622.519201909,0
249,2024-06-21,544.51,2245715.926659572,0
250,2024-06-20,547.0,2251749.7683991836,0
251,2024-06-18,548.49,2269243.2320473604,0
252,2024-06-17,547.1,2268541.6225427543,0
253,2024-06-14,542.78,2241085.303929172,0
254,2024-06-13,542.45,2229532.13408666,0
255,2024-06-12,541.36,2217511.22457441,0
256,2024-06-11,536.95,2188838.782819511,0
257,2024-06-10,535.66,2173917.8873548894,0
258,2024-06-07,534.01,2153536.4977362636,0
259,2024-06-06,534.66,2149994.0427121725,0
260,2024-06-05,534.67,2143536.5761304693,0
261,2024-06-04,528.39,2101172.6584903295,0
262,2024-06-03,527.8,2095437.8050106596,0
263,2024-05-31,527.37,2084245.590961627,0
264,2024-05-30,522.61,2088130.4917059194,0
265,2024-05-29,526.1,2110746.163895907,0
266,2024-05-28,529.81,2125730.7810524628,0
267,2024-05-24,529.44,2117729.735471956,0
268,2024-05-23,525.96,2097888.992385035,0
269,2024-05-22,529.83,2107370.0001538433,0
270,2024-05-21,531.36,2107786.239519303,0
271,2024-05-20,530.06,2103670.094683089,0
272,2024-05-17,529.45,2089101.7168919924,0
273,2024-05-16,528.69,2090119.19089645,0
274,2024-05-15,529.78,2094374.0821878177,0
275,2024-05-14,523.3,2062138.6557738686,0
276,2024-05-13,520.91,2048957.7425343052,0
277,2024-05-10,520.84,2044240.3630590932,0
278,2024-05-09,520.17,2039430.485947112,0
279,2024-05-08,517.19,2034990.5993822068,0
280,2024-05-07,517.14,2036193.068660202,0
281,2024-05-06,516.57,2035869.3269315108,0
282,2024-05-03,511.29,2013808.640562137,0
283,2024-05-02,505.03,1974127.1543882936,0
284,2024-05-01,500.35,1949245.2900974692,0
285,2024-04-30,501.98,1948971.1846480055,0
286,2024-04-29,510.06,1912545.36281247,0
287,2024-04-26,508.26,1901686.7420789443,0
288,2024-04-25,503.49,1872786.0630441129,0
289,2024-04-24,505.41,1881875.4369085026,0
290,2024-04-23,505.65,1875521.6998382497,0
291,2024-04-22,499.72,1847944.7160263879,0
292,2024-04-19,495.16,1829545.3524271136,0
293,2024-04-18,499.52,1868197.2529378193,0
294,2024-04-17,500.55,1878919.184243871,0
295,2024-04-16,503.53,1902127.973819934,0
296,2024-04-15,504.45,1901951.4811235382,0
297,2024-04-12,510.85,1933764.289648902,0
